date,twitter_total_posts,positive_tweets,negative_tweets,neutral_tweets,tweet_sentiment,news_text_count,news_sentiment
2022-02-13,999,341,114,544,0.0674526530412773,17.0,0.04451213818860878
2022-02-14,1291,455,134,703,0.0783954313312328,48.0,0.08801497113997114
2022-02-15,1639,564,188,888,0.0726919042933343,53.0,0.09789907157831687
2022-02-16,1389,460,163,766,0.0712845454823416,56.0,0.03328433140933141
2022-02-17,1618,460,209,950,0.0547438081173034,51.0,0.07497235426156994
2022-02-18,1369,434,149,786,0.0669050665964879,53.0,0.04957649268970024
2022-02-19,1048,350,119,579,0.073319389271929,17.0,0.11851285968933029
2022-02-20,1162,382,136,645,0.0654602146860507,18.0,0.08717181738015072
2022-02-21,1346,426,139,781,0.0669551488343898,43.0,0.047642999765092786
2022-02-22,1387,468,153,768,0.070802454152333,50.0,0.08286826599326598
2022-02-23,1267,427,159,681,0.0698434375807322,56.0,0.04832033128908129
2022-02-24,154,60,19,76,0.070819183480773,54.0,0.10661622842178398
2022-02-25,1360,424,181,756,0.0560617848852389,46.0,0.021036098563272477
2022-02-26,993,279,114,601,0.0542573751945293,17.0,0.10802139037433156
2022-02-27,952,272,120,560,0.0527858382488859,15.0,0.04895833333333333
2022-02-28,2031,610,207,1214,0.0617290042167967,49.0,0.08241251803751803
2022-03-01,1785,558,183,1045,0.0641282080641508,10.0,0.035625
2022-03-02,1244,384,123,737,0.0657338597576615,51.0,0.039343316451159585
2022-03-03,1225,364,136,725,0.0613555638823505,58.0,-0.01011200365726228
2022-03-04,1164,331,119,715,0.0543478210586972,17.0,0.11911287242169595
2022-03-05,867,280,80,508,0.0814960093646935,48.0,0.08029192595598846
2022-03-06,866,275,96,495,0.0718392244610128,46.0,0.10080328789567919
2022-03-07,1200,370,174,656,0.0512949931474454,18.0,0.07330106621773289
2022-03-08,1129,412,140,577,0.0700389853852802,47.0,0.007636394338521999
2022-03-09,1644,500,150,994,0.0675877412922946,12.0,0.016845538720538716
2022-03-10,1324,407,152,766,0.0621813661514209,41.0,0.007615278804303192
2022-03-11,1151,353,151,647,0.0684565947220461,54.0,0.06954278232056009
2022-03-12,993,323,108,563,0.0764481752819794,14.0,0.12533897649969078
2022-03-13,976,270,118,588,0.0596532648885604,13.0,-0.018814102564102566
2022-03-14,1415,444,126,845,0.0804290772431594,46.0,0.06726119894598155
2022-03-15,1139,363,113,663,0.0678797019324884,60.0,0.05650275072150072
2022-03-16,1363,378,143,843,0.0590879713169017,54.0,0.06540092280833021
2022-03-17,929,319,90,521,0.0811952223897596,50.0,0.05726195286195287
2022-03-18,1095,396,107,592,0.081091536866288,46.0,0.05468044184076793
