date,total_posts,positive,negative,neutral,sentiment
2022-04-24,907,317,98,492,0.07343475489402998
2022-04-25,1364,443,157,764,0.06517683140378994
2022-04-26,1488,515,141,832,0.07522188859841719
2022-04-27,1481,551,156,774,0.07552476329743539
2022-04-28,1404,509,145,750,0.07562834563795626
2022-04-29,1180,410,138,633,0.07355899349242044
2022-04-30,1065,351,135,579,0.05999001111779593
2022-05-01,1173,361,169,643,0.0549038770998994
2022-05-02,1147,413,141,593,0.0788235619692273
2022-05-03,1001,370,104,527,0.0860117218607734
2022-05-04,1337,463,161,714,0.0768018089383204
2022-05-05,1577,468,196,913,0.06283814447218912
2022-05-06,1350,387,170,793,0.061792266580790955
2022-05-07,997,315,109,573,0.07340567812742807
2022-05-08,1392,427,176,789,0.0664830556546513
2022-05-09,2528,682,328,1518,0.0507850691217584
2022-05-10,1798,551,230,1017,0.06315946048820001
2022-05-11,2202,666,305,1231,0.054212584276516824
2022-05-12,2273,719,308,1246,0.06301410189502595
2022-05-13,1736,561,198,977,0.07111994126072069
2022-05-14,1186,368,142,676,0.06061133139645471
2022-05-15,1164,376,130,658,0.06536723002186473
2022-05-16,1654,522,202,930,0.0636928416392565
2022-05-17,1324,436,159,729,0.06973687926506345
2022-05-18,1223,375,149,699,0.06535635378103036
2022-05-19,1291,425,150,718,0.07047795536027499
2022-05-20,1122,380,93,649,0.08468352061229298
2022-05-21,908,270,84,554,0.06544702521357945
2022-05-22,1277,473,109,695,0.1299074913918052
2022-05-23,1265,405,139,721,0.0683725532650403
2022-05-24,1146,367,132,647,0.06396669690195697
2022-05-25,1086,381,101,604,0.08192567259513048
2022-05-26,1093,370,120,603,0.07285690996692566
2022-05-27,1043,324,132,588,0.058946229289334656
2022-05-28,820,257,84,479,0.0705562234137773
2022-05-29,808,228,82,498,0.06358794245824427
2022-05-30,1426,413,156,859,0.05498478940011751
2022-05-31,663,218,70,375,0.07808998498308285
2022-06-01,638,203,82,353,0.06262702283240097
2022-06-02,660,223,95,342,0.06591684913711429
2022-06-03,620,224,88,308,0.06534895841645554
2022-06-04,482,153,60,269,0.07867679363381794
2022-06-05,505,175,68,263,0.06491052268164423
2022-06-06,696,239,95,362,0.070888273862187
2022-06-07,759,277,97,385,0.07680510861236205
2022-06-08,625,215,96,314,0.06995607277537277
2022-06-09,557,206,79,272,0.07029397522553607
2022-06-10,591,187,70,334,0.06434868857172157
2022-06-11,555,209,66,280,0.08463540989582656
2022-06-12,667,206,109,352,0.05165137637147336
2022-06-13,1904,613,282,1009,0.06588513565206841
2022-06-14,1211,374,207,630,0.045949405194834
2022-06-15,1127,370,194,563,0.05391325524209128
2022-06-16,902,305,127,470,0.06210550923335806
2022-06-17,749,278,111,360,0.07867946888081472
2022-06-18,1841,595,264,982,0.051253200130962344
2022-06-19,1096,386,166,545,0.08187796095851912
2022-06-20,1557,571,217,769,0.0717366319356869
2022-06-21,1768,614,259,897,0.07557378965240312
2022-06-22,1581,553,228,800,0.0659390761782882
2022-06-23,1440,467,187,788,0.06159434414150087
2022-06-24,1322,439,161,722,0.0635689111187882
